x,numerical,analytical,error
1.57866,4.29199,4.29161,0.000388403
1.58495,4.29681,4.29644,0.000370732
1.59124,4.30164,4.30128,0.000353546
1.59753,4.30646,4.30612,0.000336839
1.60382,4.31128,4.31096,0.000320605
1.61011,4.3161,4.3158,0.000304837
1.6164,4.32093,4.32064,0.000289529
1.62268,4.32575,4.32547,0.000274674
1.62897,4.33057,4.33031,0.000260265
1.63526,4.3354,4.33515,0.000246295
1.64155,4.34022,4.33999,0.000232756
1.64784,4.34505,4.34483,0.000219641
1.65413,4.34987,4.34967,0.000206942
1.66042,4.3547,4.35451,0.000194651
1.66671,4.35953,4.35934,0.00018276
1.673,4.36435,4.36418,0.000171262
1.67929,4.36918,4.36902,0.000160148
1.68558,4.37401,4.37386,0.00014941
1.69187,4.37884,4.3787,0.00013904
1.69816,4.38366,4.38354,0.000129029
1.70445,4.38849,4.38837,0.00011937
1.71074,4.39332,4.39321,0.000110054
1.71703,4.39815,4.39805,0.000101073
1.72332,4.40298,4.40289,9.24174e-05
1.72961,4.40781,4.40773,8.40803e-05
1.7359,4.41264,4.41257,7.60531e-05
1.74218,4.41747,4.4174,6.83275e-05
1.74847,4.4223,4.42224,6.08953e-05
1.75476,4.42714,4.42708,5.37485e-05
1.76105,4.43197,4.43192,4.68789e-05
1.76734,4.4368,4.43676,4.02785e-05
1.77363,4.44163,4.4416,3.39395e-05
1.77992,4.44646,4.44644,2.78541e-05
1.78621,4.4513,4.45127,2.20145e-05
1.7925,4.45613,4.45611,1.64131e-05
1.79879,4.46096,4.46095,1.10423e-05
1.80508,4.4658,4.46579,5.89488e-06
1.81137,4.47063,4.47063,9.63431e-07
1.81766,4.47546,4.47547,3.75919e-06
1.82395,4.4803,4.4803,8.28001e-06
1.83024,4.48513,4.48514,1.26059e-05
1.83653,4.48996,4.48998,1.67438e-05
1.84282,4.4948,4.49482,2.07001e-05
1.84911,4.49963,4.49966,2.44815e-05
1.8554,4.50447,4.5045,2.80943e-05
1.86168,4.5093,4.50933,3.15446e-05
1.86797,4.51414,4.51417,3.48387e-05
1.87426,4.51897,4.51901,3.79823e-05
1.88055,4.52381,4.52385,4.09813e-05
1.88684,4.52864,4.52869,4.38413e-05
1.89313,4.53348,4.53353,4.65678e-05
1.89942,4.53832,4.53837,4.91661e-05
1.90571,4.54315,4.5432,5.16414e-05
1.912,4.54799,4.54804,5.39988e-05
1.91829,4.55282,4.55288,5.62431e-05
1.92458,4.55766,4.55772,5.8379e-05
1.93087,4.5625,4.56256,6.04113e-05
1.93716,4.56733,4.5674,6.23442e-05
1.94345,4.57217,4.57223,6.41822e-05
1.94974,4.57701,4.57707,6.59295e-05
1.95603,4.58184,4.58191,6.759e-05
1.96232,4.58668,4.58675,6.91676e-05
1.96861,4.59152,4.59159,7.06662e-05
1.9749,4.59635,4.59643,7.20893e-05
1.98118,4.60119,4.60127,7.34405e-05
1.98747,4.60603,4.6061,7.47231e-05
1.99376,4.61087,4.61094,7.59404e-05
2.00005,4.6157,4.61578,7.70955e-05
2.00634,4.62054,4.62062,7.81914e-05
2.01263,4.62538,4.62546,7.9231e-05
2.01892,4.63022,4.6303,8.02171e-05
2.02521,4.63505,4.63513,8.11524e-05
2.0315,4.63989,4.63997,8.20393e-05
2.03779,4.64473,4.64481,8.28805e-05
2.04408,4.64957,4.64965,8.36781e-05
2.05037,4.6544,4.65449,8.44345e-05
2.05666,4.65924,4.65933,8.51518e-05
2.06295,4.66408,4.66416,8.58321e-05
2.06924,4.66892,4.669,8.64773e-05
2.07553,4.67375,4.67384,8.70893e-05
2.08182,4.67859,4.67868,8.76699e-05
2.08811,4.68343,4.68352,8.82209e-05
2.0944,4.68827,4.68836,8.87438e-05
2.10068,4.69311,4.6932,8.92403e-05
2.10697,4.69794,4.69803,8.97117e-05
2.11326,4.70278,4.70287,9.01596e-05
2.11955,4.70762,4.70771,9.05852e-05
2.12584,4.71246,4.71255,9.09898e-05
2.13213,4.7173,4.71739,9.13747e-05
2.13842,4.72213,4.72223,9.1741e-05
2.14471,4.72697,4.72706,9.20897e-05
2.151,4.73181,4.7319,9.2422e-05
2.15729,4.73665,4.73674,9.27388e-05
2.16358,4.74149,4.74158,9.3041e-05
2.16987,4.74632,4.74642,9.33295e-05
2.17616,4.75116,4.75126,9.36052e-05
2.18245,4.756,4.75609,9.38689e-05
2.18874,4.76084,4.76093,9.41212e-05
2.19503,4.76568,4.76577,9.43629e-05
2.20132,4.77052,4.77061,9.45947e-05
2.20761,4.77535,4.77545,9.48172e-05
2.2139,4.78019,4.78029,9.5031e-05
2.22018,4.78503,4.78513,9.52366e-05
2.22647,4.78987,4.78996,9.54346e-05
2.23276,4.79471,4.7948,9.56255e-05
2.23905,4.79954,4.79964,9.58097e-05
2.24534,4.80438,4.80448,9.59877e-05
2.25163,4.80922,4.80932,9.61599e-05
2.25792,4.81406,4.81416,9.63267e-05
2.26421,4.8189,4.81899,9.64884e-05
2.2705,4.82374,4.82383,9.66454e-05
2.27679,4.82857,4.82867,9.6798e-05
2.28308,4.83341,4.83351,9.69466e-05
2.28937,4.83825,4.83835,9.70913e-05
2.29566,4.84309,4.84319,9.72325e-05
2.30195,4.84793,4.84803,9.73704e-05
2.30824,4.85277,4.85286,9.75052e-05
2.31453,4.8576,4.8577,9.76372e-05
2.32082,4.86244,4.86254,9.77666e-05
2.32711,4.86728,4.86738,9.78935e-05
2.3334,4.87212,4.87222,9.80182e-05
2.33968,4.87696,4.87706,9.81407e-05
2.34597,4.8818,4.88189,9.82613e-05
2.35226,4.88663,4.88673,9.838e-05
2.35855,4.89147,4.89157,9.84971e-05
2.36484,4.89631,4.89641,9.86127e-05
2.37113,4.90115,4.90125,9.87268e-05
2.37742,4.90599,4.90609,9.88396e-05
2.38371,4.91083,4.91092,9.89512e-05
2.39,4.91566,4.91576,9.90616e-05
2.39629,4.9205,4.9206,9.9171e-05
2.40258,4.92534,4.92544,9.92794e-05
2.40887,4.93018,4.93028,9.93869e-05
2.41516,4.93502,4.93512,9.94936e-05
2.42145,4.93986,4.93996,9.95996e-05
2.42774,4.94469,4.94479,9.97048e-05
2.43403,4.94953,4.94963,9.98094e-05
2.44032,4.95437,4.95447,9.99135e-05
2.44661,4.95921,4.95931,0.000100017
2.4529,4.96405,4.96415,0.00010012
2.45918,4.96889,4.96899,0.000100222
2.46547,4.97372,4.97382,0.000100325
2.47176,4.97856,4.97866,0.000100426
2.47805,4.9834,4.9835,0.000100528
2.48434,4.98824,4.98834,0.000100629
2.49063,4.99308,4.99318,0.000100729
2.49692,4.99792,4.99802,0.00010083
2.50321,5.00275,5.00285,0.00010093
2.5095,5.00759,5.00769,0.00010103
2.51579,5.01243,5.01253,0.00010113
2.52208,5.01727,5.01737,0.000101229
2.52837,5.02211,5.02221,0.000101329
2.53466,5.02695,5.02705,0.000101428
2.54095,5.03178,5.03189,0.000101527
2.54724,5.03662,5.03672,0.000101626
2.55353,5.04146,5.04156,0.000101725
2.55982,5.0463,5.0464,0.000101824
2.56611,5.05114,5.05124,0.000101922
2.5724,5.05598,5.05608,0.000102021
2.57868,5.06081,5.06092,0.000102119
2.58497,5.06565,5.06575,0.000102218
2.59126,5.07049,5.07059,0.000102316
2.59755,5.07533,5.07543,0.000102414
2.60384,5.08017,5.08027,0.000102512
2.61013,5.08501,5.08511,0.000102611
2.61642,5.08984,5.08995,0.000102709
2.62271,5.09468,5.09478,0.000102807
2.629,5.09952,5.09962,0.000102905
2.63529,5.10436,5.10446,0.000103003
2.64158,5.1092,5.1093,0.000103101
2.64787,5.11404,5.11414,0.000103199
2.65416,5.11887,5.11898,0.000103296
2.66045,5.12371,5.12382,0.000103394
2.66674,5.12855,5.12865,0.000103492
2.67303,5.13339,5.13349,0.00010359
2.67932,5.13823,5.13833,0.000103688
2.68561,5.14307,5.14317,0.000103786
2.6919,5.1479,5.14801,0.000103883
2.69818,5.15274,5.15285,0.000103981
2.70447,5.15758,5.15768,0.000104079
2.71076,5.16242,5.16252,0.000104177
2.71705,5.16726,5.16736,0.000104274
2.72334,5.1721,5.1722,0.000104372
2.72963,5.17693,5.17704,0.00010447
2.73592,5.18177,5.18188,0.000104567
2.74221,5.18661,5.18672,0.000104665
2.7485,5.19145,5.19155,0.000104763
2.75479,5.19629,5.19639,0.00010486
2.76108,5.20113,5.20123,0.000104958
2.76737,5.20596,5.20607,0.000105056
2.77366,5.2108,5.21091,0.000105153
2.77995,5.21564,5.21575,0.000105251
2.78624,5.22048,5.22058,0.000105349
2.79253,5.22532,5.22542,0.000105446
2.79882,5.23016,5.23026,0.000105544
2.80511,5.23499,5.2351,0.000105642
2.8114,5.23983,5.23994,0.000105739
2.81768,5.24467,5.24478,0.000105837
2.82397,5.24951,5.24961,0.000105935
2.83026,5.25435,5.25445,0.000106032
2.83655,5.25919,5.25929,0.00010613
2.84284,5.26402,5.26413,0.000106228
2.84913,5.26886,5.26897,0.000106325
2.85542,5.2737,5.27381,0.000106423
2.86171,5.27854,5.27865,0.000106521
2.868,5.28338,5.28348,0.000106618
2.87429,5.28822,5.28832,0.000106716
2.88058,5.29305,5.29316,0.000106813
2.88687,5.29789,5.298,0.000106911
2.89316,5.30273,5.30284,0.000107009
2.89945,5.30757,5.30768,0.000107106
2.90574,5.31241,5.31251,0.000107204
2.91203,5.31725,5.31735,0.000107302
2.91832,5.32208,5.32219,0.000107399
2.92461,5.32692,5.32703,0.000107497
2.9309,5.33176,5.33187,0.000107595
2.93718,5.3366,5.33671,0.000107692
2.94347,5.34144,5.34154,0.00010779
2.94976,5.34628,5.34638,0.000107888
2.95605,5.35111,5.35122,0.000107985
2.96234,5.35595,5.35606,0.000108083
2.96863,5.36079,5.3609,0.00010818
2.97492,5.36563,5.36574,0.000108278
2.98121,5.37047,5.37058,0.000108376
2.9875,5.37531,5.37541,0.000108473
2.99379,5.38014,5.38025,0.000108571
3.00008,5.38498,5.38509,0.000108669
3.00637,5.38982,5.38993,0.000108766
3.01266,5.39466,5.39477,0.000108864
3.01895,5.3995,5.39961,0.000108962
3.02524,5.40434,5.40444,0.000109059
3.03153,5.40917,5.40928,0.000109157
3.03782,5.41401,5.41412,0.000109254
3.04411,5.41885,5.41896,0.000109352
3.0504,5.42369,5.4238,0.00010945
3.05668,5.42853,5.42864,0.000109547
3.06297,5.43337,5.43348,0.000109645
3.06926,5.4382,5.43831,0.000109743
3.07555,5.44304,5.44315,0.00010984
3.08184,5.44788,5.44799,0.000109938
3.08813,5.45272,5.45283,0.000110036
3.09442,5.45756,5.45767,0.000110133
3.10071,5.4624,5.46251,0.000110231
3.107,5.46723,5.46734,0.000110328
3.11329,5.47207,5.47218,0.000110426
3.11958,5.47691,5.47702,0.000110524
3.12587,5.48175,5.48186,0.000110621
3.13216,5.48659,5.4867,0.000110719
3.13845,5.49143,5.49154,0.000110817
3.14474,5.49626,5.49637,0.000110914
3.15103,5.5011,5.50121,0.000111012
3.15732,5.50594,5.50605,0.00011111
3.16361,5.51078,5.51089,0.000111207
3.1699,5.51562,5.51573,0.000111305
3.17618,5.52046,5.52057,0.000111403
3.18247,5.52529,5.52541,0.0001115
3.18876,5.53013,5.53024,0.000111598
3.19505,5.53497,5.53508,0.000111696
3.20134,5.53981,5.53992,0.000111793
3.20763,5.54465,5.54476,0.000111891
3.21392,5.54949,5.5496,0.000111989
3.22021,5.55432,5.55444,0.000112086
3.2265,5.55916,5.55927,0.000112184
3.23279,5.564,5.56411,0.000112282
3.23908,5.56884,5.56895,0.000112379
3.24537,5.57368,5.57379,0.000112477
3.25166,5.57852,5.57863,0.000112575
3.25795,5.58335,5.58347,0.000112672
3.26424,5.58819,5.5883,0.00011277
3.27053,5.59303,5.59314,0.000112868
3.27682,5.59787,5.59798,0.000112966
3.28311,5.60271,5.60282,0.000113064
3.2894,5.60755,5.60766,0.000113161
3.29568,5.61238,5.6125,0.000113259
3.30197,5.61722,5.61734,0.000113357
3.30826,5.62206,5.62217,0.000113455
3.31455,5.6269,5.62701,0.000113553
3.32084,5.63174,5.63185,0.000113651
3.32713,5.63658,5.63669,0.000113749
3.33342,5.64141,5.64153,0.000113847
3.33971,5.64625,5.64637,0.000113945
3.346,5.65109,5.6512,0.000114044
3.35229,5.65593,5.65604,0.000114142
3.35858,5.66077,5.66088,0.00011424
3.36487,5.66561,5.66572,0.000114339
3.37116,5.67044,5.67056,0.000114438
3.37745,5.67528,5.6754,0.000114537
3.38374,5.68012,5.68023,0.000114636
3.39003,5.68496,5.68507,0.000114735
3.39632,5.6898,5.68991,0.000114835
3.40261,5.69464,5.69475,0.000114935
3.4089,5.69947,5.69959,0.000115035
3.41518,5.70431,5.70443,0.000115135
3.42147,5.70915,5.70927,0.000115236
3.42776,5.71399,5.7141,0.000115338
3.43405,5.71883,5.71894,0.00011544
3.44034,5.72367,5.72378,0.000115542
3.44663,5.7285,5.72862,0.000115646
3.45292,5.73334,5.73346,0.00011575
3.45921,5.73818,5.7383,0.000115855
3.4655,5.74302,5.74313,0.000115961
3.47179,5.74786,5.74797,0.000116069
3.47808,5.7527,5.75281,0.000116178
3.48437,5.75753,5.75765,0.000116288
3.49066,5.76237,5.76249,0.000116401
3.49695,5.76721,5.76733,0.000116515
3.50324,5.77205,5.77217,0.000116632
3.50953,5.77689,5.777,0.000116752
3.51582,5.78173,5.78184,0.000116875
3.52211,5.78656,5.78668,0.000117001
3.5284,5.7914,5.79152,0.000117132
3.53468,5.79624,5.79636,0.000117267
3.54097,5.80108,5.8012,0.000117408
3.54726,5.80592,5.80603,0.000117555
3.55355,5.81075,5.81087,0.000117709
3.55984,5.81559,5.81571,0.000117871
3.56613,5.82043,5.82055,0.000118042
3.57242,5.82527,5.82539,0.000118224
3.57871,5.83011,5.83023,0.000118417
3.585,5.83495,5.83506,0.000118625
3.59129,5.83978,5.8399,0.000118848
3.59758,5.84462,5.84474,0.000119088
3.60387,5.84946,5.84958,0.000119349
3.61016,5.8543,5.85442,0.000119633
3.61645,5.85914,5.85926,0.000119944
3.62274,5.86397,5.8641,0.000120284
3.62903,5.86881,5.86893,0.000120659
3.63532,5.87365,5.87377,0.000121073
3.64161,5.87849,5.87861,0.000121532
3.6479,5.88333,5.88345,0.000122042
3.65418,5.88816,5.88829,0.000122609
3.66047,5.893,5.89313,0.000123243
3.66676,5.89784,5.89796,0.000123952
3.67305,5.90268,5.9028,0.000124747
3.67934,5.90751,5.90764,0.00012564
3.68563,5.91235,5.91248,0.000126645
3.69192,5.91719,5.91732,0.000127777
3.69821,5.92203,5.92216,0.000129053
3.7045,5.92686,5.92699,0.000130494
3.71079,5.9317,5.93183,0.000132124
3.71708,5.93654,5.93667,0.000133967
3.72337,5.94137,5.94151,0.000136054
3.72966,5.94621,5.94635,0.000138418
3.73595,5.95104,5.95118,0.000141098
3.74224,5.95588,5.95602,0.000144137
3.74853,5.96071,5.96086,0.000147585
3.75482,5.96555,5.9657,0.0001515
3.76111,5.97038,5.97054,0.000155944
3.7674,5.97521,5.97537,0.000160991
3.77368,5.98005,5.98021,0.000166724
3.77997,5.98488,5.98505,0.000173238
3.78626,5.98971,5.98989,0.00018064
3.79255,5.99454,5.99472,0.000189052
3.79884,5.99936,5.99956,0.000198612
3.80513,6.00419,6.0044,0.000209477
3.81142,6.00901,6.00923,0.000221828
3.81771,6.01384,6.01407,0.000235867
3.824,6.01866,6.01891,0.000251825
3.83029,6.02347,6.02374,0.000269963
3.83658,6.02829,6.02858,0.00029058
3.84287,6.0331,6.03341,0.000314013
3.84916,6.03791,6.03825,0.000340646
3.85545,6.04271,6.04308,0.000370914
3.86174,6.04751,6.04791,0.00040531
3.86803,6.0523,6.05274,0.000444394
