x,numerical
4.61019,1.79715
4.61647,1.80106
4.62276,1.80509
4.62905,1.80922
4.63534,1.81345
4.64163,1.81776
4.64792,1.82214
4.65421,1.82658
4.6605,1.83107
4.66679,1.83561
4.67308,1.84019
4.67937,1.8448
4.68566,1.84945
4.69195,1.85411
4.69824,1.85881
4.70453,1.86352
4.71082,1.86824
4.71711,1.87298
4.7234,1.87774
4.72969,1.88251
4.73597,1.88728
4.74226,1.89206
4.74855,1.89686
4.75484,1.90165
4.76113,1.90645
4.76742,1.91126
4.77371,1.91607
4.78,1.92089
4.78629,1.92571
4.79258,1.93053
4.79887,1.93535
4.80516,1.94018
4.81145,1.945
4.81774,1.94983
4.82403,1.95466
4.83032,1.95949
4.83661,1.96432
4.8429,1.96916
4.84919,1.97399
4.85547,1.97882
4.86176,1.98366
4.86805,1.98849
4.87434,1.99333
4.88063,1.99817
4.88692,2.003
4.89321,2.00784
4.8995,2.01267
4.90579,2.01751
4.91208,2.02235
4.91837,2.02719
4.92466,2.03202
4.93095,2.03686
4.93724,2.0417
4.94353,2.04654
4.94982,2.05137
4.95611,2.05621
4.9624,2.06105
4.96869,2.06589
4.97497,2.07073
4.98126,2.07556
4.98755,2.0804
4.99384,2.08524
5.00013,2.09008
5.00642,2.09492
5.01271,2.09976
5.019,2.10459
5.02529,2.10943
5.03158,2.11427
5.03787,2.11911
5.04416,2.12395
5.05045,2.12878
5.05674,2.13362
5.06303,2.13846
5.06932,2.1433
5.07561,2.14814
5.0819,2.15298
5.08819,2.15781
5.09447,2.16265
5.10076,2.16749
5.10705,2.17233
5.11334,2.17717
5.11963,2.18201
5.12592,2.18684
5.13221,2.19168
5.1385,2.19652
5.14479,2.20136
5.15108,2.2062
5.15737,2.21104
5.16366,2.21587
5.16995,2.22071
5.17624,2.22555
5.18253,2.23039
5.18882,2.23523
5.19511,2.24007
5.2014,2.2449
5.20769,2.24974
5.21397,2.25458
5.22026,2.25942
5.22655,2.26426
5.23284,2.2691
5.23913,2.27393
5.24542,2.27877
5.25171,2.28361
5.258,2.28845
5.26429,2.29329
5.27058,2.29813
5.27687,2.30296
5.28316,2.3078
5.28945,2.31264
5.29574,2.31748
5.30203,2.32232
5.30832,2.32716
5.31461,2.33199
5.3209,2.33683
5.32719,2.34167
5.33347,2.34651
5.33976,2.35135
5.34605,2.35619
5.35234,2.36102
5.35863,2.36586
5.36492,2.3707
5.37121,2.37554
5.3775,2.38038
5.38379,2.38522
5.39008,2.39005
5.39637,2.39489
5.40266,2.39973
5.40895,2.40457
5.41524,2.40941
5.42153,2.41425
5.42782,2.41908
5.43411,2.42392
5.4404,2.42876
5.44669,2.4336
5.45297,2.43844
5.45926,2.44328
5.46555,2.44811
5.47184,2.45295
5.47813,2.45779
5.48442,2.46263
5.49071,2.46747
5.497,2.47231
5.50329,2.47714
5.50958,2.48198
5.51587,2.48682
5.52216,2.49166
5.52845,2.4965
5.53474,2.50134
5.54103,2.50617
5.54732,2.51101
5.55361,2.51585
5.5599,2.52069
5.56619,2.52553
5.57247,2.53037
5.57876,2.5352
5.58505,2.54004
5.59134,2.54488
5.59763,2.54972
5.60392,2.55456
5.61021,2.5594
5.6165,2.56423
5.62279,2.56907
5.62908,2.57391
5.63537,2.57875
5.64166,2.58359
5.64795,2.58843
5.65424,2.59326
5.66053,2.5981
5.66682,2.60294
5.67311,2.60778
5.6794,2.61262
5.68569,2.61746
5.69197,2.62229
5.69826,2.62713
5.70455,2.63197
5.71084,2.63681
5.71713,2.64165
5.72342,2.64649
5.72971,2.65132
5.736,2.65616
5.74229,2.661
5.74858,2.66584
5.75487,2.67068
5.76116,2.67552
5.76745,2.68035
5.77374,2.68519
5.78003,2.69003
5.78632,2.69487
5.79261,2.69971
5.7989,2.70455
5.80519,2.70938
5.81147,2.71422
5.81776,2.71906
5.82405,2.7239
5.83034,2.72874
5.83663,2.73358
5.84292,2.73841
5.84921,2.74325
5.8555,2.74809
5.86179,2.75293
5.86808,2.75777
5.87437,2.76261
5.88066,2.76744
5.88695,2.77228
5.89324,2.77712
5.89953,2.78196
5.90582,2.7868
